CodeN1,"Niv. 1 (Domaine d'activité général)",CodeN2,"Niv. 2(précision sur le domaine d'activité)",CodeN3,"Niv. 3(précision du type d'exercice professionnel si besoin)",CodeN4,"Niv. 4(précision détaillée du type de profession si besoin)",Code final
01,"Agriculture, sylviculture et pêche",07,Pêche,04,Pêche en eau douce,02,Sans présence de viviers,01070402
01,"Agriculture, sylviculture et pêche",08,Aquaculture,01,Aquaculture en mer,01,Nécessitant d'embarquer sur un navire battant pavillon français,01080101
01,"Agriculture, sylviculture et pêche",08,Aquaculture,01,Aquaculture en mer,02,Ne nécessitant pas d'embarquer sur un navire battant pavillon français,01080102
01,"Agriculture, sylviculture et pêche",08,Aquaculture,02,Aquaculture en eau douce,00,,01080200
02,Industrie et artisanat de fabrication ,01,Industrie extractive,01,"Extraction d'hydrocarbures, de minerais métallique, de houille, de lignite",00,,02010100
02,Industrie et artisanat de fabrication ,01,Industrie extractive,02,Orpaillage,00,,02010200
02,Industrie et artisanat de fabrication ,01,Industrie extractive,03,"Extraction de pierres, de sables et d'argiles",00,,02010300
02,Industrie et artisanat de fabrication ,01,Industrie extractive,04,Extraction des minéraux chimiques et d’engrais minéraux.,00,,02010400
02,Industrie et artisanat de fabrication ,01,Industrie extractive,05,Extraction de tourbe.,00,,02010500
02,Industrie et artisanat de fabrication ,01,Industrie extractive,06,Production de sel.,01,En marais salants,02010601
02,Industrie et artisanat de fabrication ,01,Industrie extractive,06,Production de sel.,02,Hors marais salants,02010602
02,Industrie et artisanat de fabrication ,01,Industrie extractive,07,Autres activités extractives ,00,,02010700
02,Industrie et artisanat de fabrication ,01,Industrie extractive,08,Activités de soutien à l'extraction d'hydrocarbures,00,,02010800
02,Industrie et artisanat de fabrication ,01,Industrie extractive,09,Activités de soutien aux autres industries extractives ,00,,02010900
02,Industrie et artisanat de fabrication ,01,Industrie extractive,10,Activités de soutien aux autres industries extractives exercées de manière artisanale,00,,02011000
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,01,Transformation et conservation de la viande et préparation de produits à base de viande,00,,02020100
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,02,"Transformation et conservation de poisson, de crustacés et de mollusques",00,,02020200
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,03,Transformation et conservation de fruits et légumes,01,Transformation et conservation de fruits et légumes à titre artisanal,02020301
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,03,Transformation et conservation de fruits et légumes,02,préparation d’aliments préparés périssables à base de fruits et légumes (produits de la «4ème gamme»),02020302
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,04,Fabrication d’huiles et graisses végétales et animales,00,,02020400
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,05,Fabrication de produits laitiers,00,,02020500
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,06,Fabrication de glaces et sorbets,01,A titre artisanal,02020601
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,06,Fabrication de glaces et sorbets,02,Autre,02020602
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,07,Travail des grains ; fabrication de produits amylacés,00,,02020700
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,08,Fabrication de produits de boulangerie-pâtisserie (hors cuisson de produits de boulangerie),00,,02020800
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,09,Fabrication d'autres produits alimentaires,00,,02020900
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,10,Fabrication d'aliments pour animaux,00,,02021000
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,11,Fabrication de boissons,00,,02021100
02,Industrie et artisanat de fabrication ,02,Industrie alimentaire,12,Fabrication de vin,00,,02021200
02,Industrie et artisanat de fabrication ,03,Industrie du tabac,00,,00,,02030000
02,Industrie et artisanat de fabrication ,04,"Industrie du textile, du cuir et de l'habillement",00,,00,,02040000
02,Industrie et artisanat de fabrication ,05,"Industrie du bois, du papier et du carton",01,Sciage et rabotage du bois,00,,02050100
02,Industrie et artisanat de fabrication ,05,"Industrie du bois, du papier et du carton",02,"Fabrication d'articles en bois, liège, vannerie et sparterie",00,,02050200
02,Industrie et artisanat de fabrication ,05,"Industrie du bois, du papier et du carton",03,"Fabrication de pâte à papier, de papier et de carton",00,,02050300
02,Industrie et artisanat de fabrication ,05,"Industrie du bois, du papier et du carton",04,Imprimerie et reproduction d'enregistrements,00,,02050400
02,Industrie et artisanat de fabrication ,05,"Industrie du bois, du papier et du carton",05,Imprimerie de journaux,00,,02050500
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,01,Cokéfaction et raffinage,00,,02060100
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,02,Production de brai et de coke de brai.,00,,02060200
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,03,Agglomération de la tourbe.,00,,02060300
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,04,industrie chimique ,00,,02060400
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,05,Industrie pharmaceutique,00,,02060500
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,06,Fabrication d’édulcorants de synthèse.,00,,02060600
02,Industrie et artisanat de fabrication ,06,industrie chimique et pharmaceutique ,07,Fabrication de substances radioactives de diagnostic et de pansements.,00,,02060700
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,01,Produits en caoutchouc et plastique,00,,02070100
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,02,"Produits minéraux non métalliques (verre, céramique, porcelaine…)",00,,02070200
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,03,Métallurgie et produits métalliques,00,,02070300
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,04,"Produits informatiques, électroniques, optiques et équipements électriques",00,,02070400
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,05,Fabrication de machines et autres équipements,00,,02070500
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,06,Fabrication de meubles,00,,02070600
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,07,"Fabrication d’articles de joaillerie, bijouterie, instrument de musique ",00,,02070700
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,08,Autres produits manufacturés,00,,02070800
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,09,Fabrication de prothèses dentaires.,00,,02070900
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,10,Fabrication d'instruments et de fournitures à usage médical et dentaire,00,,02071000
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,11,"Fabrication d’articles ophtalmologiques, lunettes correctrices, lentilles sur
prescription, verres de contact ",00,,02071100
02,Industrie et artisanat de fabrication ,07,Fabrication de produits divers,12,Fabrication de montures et lunettes de protection,00,,02071200
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",01,Édition de livres et périodiques et autres activités d'édition ,00,,02080100
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",02,Edition de blog,00,,02080200
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",03,"Edition d’imprimés fiduciaires, imprimés commerciaux, formulaires imprimés.",00,,02080300
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",04,Édition de logiciels,00,,02080400
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",05,"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale",00,,02080500
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",06,"Réalisation technique de films cinématographiques, de vidéo et de programmes de télévision",00,,02080600
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",07,Programmation et diffusion,00,,02080700
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",08,Télécommunications,00,,02080800
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",09,"Programmation, conseil et autres activités informatiques ",01,A titre commercial,02080901
02,Industrie et artisanat de fabrication ,08,"Edition, informatique et télécommunication",09,"Programmation, conseil et autres activités informatiques ",02,A titre indépendant,02080902
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,01,"Réparation d'ouvrages en métaux, de machines et d'équipements divers",00,,03010100
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,02,Réparation de machines et équipements mécaniques,01,Réparation et entretien de machines agricoles et forestières ,03010201
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,02,Réparation de machines et équipements mécaniques,02,Réparation et entretien de machines pour la construction et l'extraction,03010202
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,02,Réparation de machines et équipements mécaniques,03,Réparation d'autres machines et équipements mécaniques,03010203
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,03,Réparation d'équipements électriques,01,"Réparation, rembobinage et entretien de transformateurs électriques et de groupes électrogènes à moteur ",03010301
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,03,Réparation d'équipements électriques,02,Réparation et entretien de matériel de distribution et de commande,03010302
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,03,Réparation d'équipements électriques,03,Réparation et entretien de dispositifs de câblage porteurs et non porteurs de courant pour le câblage d'installation électrique,03010303
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,03,Réparation d'équipements électriques,04,Réparation d'autres équipements électriques,03010304
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,04,"Installation de structures métalliques, chaudronnées et de tuyauterie.",01,"Installation de générateurs de vapeur, de chaudières et de pompes à chaleur pour le chauffage central",03010401
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,04,"Installation de structures métalliques, chaudronnées et de tuyauterie.",02,"Installation et travaux de tuyauterie métallique sur site industriel : chimie, pétrole…",03010402
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,04,"Installation de structures métalliques, chaudronnées et de tuyauterie.",03,Installation d'autres structures métalliques,03010403
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,05,Installation de machines et équipements mécaniques.,01,"Installation et montage de pompes, compresseurs et systèmes hydrauliques",03010501
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,05,Installation de machines et équipements mécaniques.,02,Installation d'articles de robinetterie et similaires ,03010502
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,05,Installation de machines et équipements mécaniques.,03,Installation d'autres machines et équipements mécaniques,03010503
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,06,Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels,00,,03010600
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,07,Installation et montage de matériels électriques divers,00,,03010700
03,Installation et réparation,01,Réparation et installation de machines et d'équipements ,08,Installation de matériels électroniques et optiques ou d'autres matériels,00,,03010800
03,Installation et réparation,02,"Entretien, réparation, nettoyage et embellissement de véhicules automobiles",01,Entretien et réparation de véhicules automobiles,00,,03020100
03,Installation et réparation,02,"Entretien, réparation, nettoyage et embellissement de véhicules automobiles",02,Nettoyage et embellissement de véhicules automobiles,00,,03020200
03,Installation et réparation,03,Réparation de motocycles.,00, ,00,,03030000
03,Installation et réparation,04,Réparation de biens personnels et domestiques et d'ordinateurs,00,,00,,03040000
03,Installation et réparation,05,"Travaux de petit bricolage dits "" homme toutes mains """,00,,00,,03050000
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",01,"Production, transport et distribution d'électricité",01,"Production, transport et distribution d'électricité à titre professionnel",00,,04010100
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",01,"Production, transport et distribution d'électricité",02,Particulier producteur d'électricité,00,,04010200
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",02,Production et distribution de combustibles gazeux,00,,00,,04020000
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",03,Production et distribution de vapeur et d'air conditionné,00,,00,,04030000
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",04,"Captage, traitement et distribution d'eau",00,,00,,04040000
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",05,Collecte et traitement des eaux usées,01,Collecte et traitement des eaux usées,00,,04050100
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",05,Collecte et traitement des eaux usées,02,Entretien de fosses septiques.,00,,04050200
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",01,Collecte des déchets non dangereux,00,,04060100
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",02,Collecte des déchets dangereux,00,,04060200
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",03,Collecte des déchets nucléaires.,00,,04060300
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",04,Traitement et élimination des déchets non dangereux,01,Au service exclusif des exploitations agricoles,04060401
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",04,Traitement et élimination des déchets non dangereux,02,Autre,04060402
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",05,Incinération des déchets non dangereux et production de cendres et scories associée.,00,,04060500
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",06,Traitement et élimination des déchets dangereux,00,,04060600
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",07,Traitement et élimination de déchets nucléaires radioactifs.,00,,04060700
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",08,Démantèlement d'épaves,00,,04060800
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",06,"Collecte, traitement et élimination des déchets ; récupération",09,Récupération de déchets triés,00,,04060900
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",07,Dépollution et autres services de gestion des déchets,00,,00,,04070000
04,"Réseaux de production, de distribution et de traitement des fluides et des déchets ",08,Désamiantage.,00,,00,,04080000
05,Construction,01,Promotion immobilière,01,Promotion immobilière de bureaux,00,,05010100
05,Construction,01,Promotion immobilière,02,Promotion immobilière de logements,00,,05010200
05,Construction,01,Promotion immobilière,03,Promotion immobilière d'autres bâtiments,00,,05010300
05,Construction,02,Construction et réhabilitation de bâtiments résidentiels et non résidentiels,00,,00,,05020000
05,Construction,03,Génie civil,01,Construction de routes et de voies ferrées ,00,,05030100
05,Construction,03,Génie civil,02,Construction d’installations de réseaux pour fluides.,00,,05030200
05,Construction,03,Génie civil,03,Forage des puits d’eau.,00,,05030300
05,Construction,03,Génie civil,04,Construction de centrales électriques.,00,,05030400
05,Construction,03,Génie civil,05,Construction de lignes électriques et de télécommunication.,00,,05030500
05,Construction,03,Génie civil,06,Construction d’ouvrages maritimes et fluviaux.,01,Au service exclusif des exploitations agricoles,05030601
05,Construction,03,Génie civil,06,Construction d’ouvrages maritimes et fluviaux.,02,Autre,05030602
05,Construction,03,Génie civil,07,Construction d'autres ouvrages de génie civil ,01,Au service exclusif des exploitations agricoles,05030701
05,Construction,03,Génie civil,07,Construction d'autres ouvrages de génie civil ,02,Autre,05030702
05,Construction,03,Génie civil,08,Construction d’installations sportives et d’ouvrages industriels ou miniers.,01,Au service exclusif des exploitations agricoles,05030801
05,Construction,03,Génie civil,08,Construction d’installations sportives et d’ouvrages industriels ou miniers.,02,Autre,05030802
05,Construction,04,Travaux de construction spécialisés ,01,Démolition et préparation des sites,01,Au service exclusif des exploitations agricoles,05040101
05,Construction,04,Travaux de construction spécialisés ,01,Démolition et préparation des sites,02,Autre,05040102
05,Construction,04,Travaux de construction spécialisés ,02,Installation d’antennes.,00,,05040200
05,Construction,04,Travaux de construction spécialisés ,03,"Travaux d'installation électrique, plomberie et autres travaux d'installation",00,,05040300
05,Construction,04,Travaux de construction spécialisés ,04,Montage de clôtures et de grilles.,00,,05040400
05,Construction,04,Travaux de construction spécialisés ,05,"Travaux de plâtrerie, mensuiserie, peinture, vitrerie et de revêtement",00,,05040500
05,Construction,04,Travaux de construction spécialisés ,06,Agencement de lieux de vente.,00,,05040600
05,Construction,04,Travaux de construction spécialisés ,07,Autres travaux de finition.,00,,05040700
05,Construction,04,Travaux de construction spécialisés ,08,Travaux de couverture,00,,05040800
05,Construction,04,Travaux de construction spécialisés ,09,Travaux d’étanchéification.,00,,05040900
05,Construction,04,Travaux de construction spécialisés ,10,Travaux de montage de structures métalliques.,00,,05041000
05,Construction,04,Travaux de construction spécialisés ,11,Travaux de maçonnerie générale et gros œuvre de bâtiment.,00,,05041100
05,Construction,04,Travaux de construction spécialisés ,12,Installation de piscines de résidence et construction de piscines extérieures.,00,,05041200
05,Construction,04,Travaux de construction spécialisés ,13,Construction de cheminées et de fours industriels.,00,,05041300
05,Construction,04,Travaux de construction spécialisés ,14,Autres travaux spéciaux de construction.,00,,05041400
05,Construction,04,Travaux de construction spécialisés ,15,Location avec opérateur de matériel de construction.,00,,05041500
06,Commerce et artisanat de détail,01,Commerce de véhicules et équipements automobiles,00,,00,,06010000
06,Commerce et artisanat de détail,02,Commerce de gros et intermédiaires,01,Agent commercial,00,,06020100
06,Commerce et artisanat de détail,02,Commerce de gros et intermédiaires,02,Autre,00,,06020200
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,01,Commerce de détail en magasin,00,,06030100
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,02,Boucherie.,00,,06030200
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,03,Boucherie-charcuterie.,00,,06030300
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,04,Boucherie chevaline.,00,,06030400
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,05,"Volailles, gibiers.",00,,06030500
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,06,Triperie.,00,,06030600
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,07,"Commerce de préparation de poissons, crustacés et mollusques",00,,06030700
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,08,Crémerie-fromagerie et préparations à base de lait ou de fromage,00,,06030800
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,09,Officine de pharmacie,00,,06030900
06,Commerce et artisanat de détail,03,Vente et Commerce de détail,10,Commerce de détail de fleurs.,00,,06031000
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,01,Commerce de détail sur éventaires et marchés,00,,06040100
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,02,Boucherie sur éventaires et marchés.,00,,06040200
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,03,Boucherie-charcuterie sur éventaires et marchés.,00,,06040300
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,04,Boucherie chevaline sur éventaires et marchés.,00,,06040400
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,05,"Volailles, gibiers sur éventaires et marchés.",00,,06040500
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,06,Triperie sur éventaires et marchés.,00,,06040600
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,07,"Préparation de poissons, crustacés, mollusques sur éventaires, marchés.",00,,06040700
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,08,"Crémerie-fromagerie et préparations à base de lait ou de fromage sur éventaires, marchés",00,,06040800
06,Commerce et artisanat de détail,04,Vente et commerce de détail sur éventaires et marchés,09,Commerce de détail de fleurs sur éventaires et marchés.,00,,06040900
06,Commerce et artisanat de détail,05,Vente à distance,00,,00,,06050000
06,Commerce et artisanat de détail,06,Vente à domicile,01,vendeur à domicile indépendant inscrit au RCS,00,,06060100
06,Commerce et artisanat de détail,06,Vente à domicile,02,vendeur à domicile indépendant inscrit au RSAC,00,,06060200
06,Commerce et artisanat de détail,06,Vente à domicile,03,Vendeur à domicile indépendant non immatriculé,00,,06060300
06,Commerce et artisanat de détail,07,Vente par automates,00,,00,,06070000
07,Activités de services,01,"Transport, Fret, Entreposage",01,Transport ferroviaire,00,,07010100
07,Activités de services,01,"Transport, Fret, Entreposage",02,Taxis,00,,07010200
07,Activités de services,01,"Transport, Fret, Entreposage",03,Location de voitures avec chauffeur.,00,,07010300
07,Activités de services,01,"Transport, Fret, Entreposage",04,Transport routier,01, Transport routier motorisé,07010401
07,Activités de services,01,"Transport, Fret, Entreposage",04,Transport routier,02, Transport routier non-motorisé,07010402
07,Activités de services,01,"Transport, Fret, Entreposage",05,Téléphériques et remontées mécaniques,00,,07010500
07,Activités de services,01,"Transport, Fret, Entreposage",06,Services de déménagement.,00,,07010600
07,Activités de services,01,"Transport, Fret, Entreposage",07,Transport maritime,01,Skippers,07010701
07,Activités de services,01,"Transport, Fret, Entreposage",07,Transport maritime,02,Autre,07010702
07,Activités de services,01,"Transport, Fret, Entreposage",07,Transport maritime,03,Activités de transports maritimes côtiers,07010703
07,Activités de services,01,"Transport, Fret, Entreposage",08,Transport fluvial de passagers,00,,07010800
07,Activités de services,01,"Transport, Fret, Entreposage",09,Transport fluvial de fret,00,,07010900
07,Activités de services,01,"Transport, Fret, Entreposage",10,Transport aérien et spatial,00, ,07011000
07,Activités de services,01,"Transport, Fret, Entreposage",11,Transports par conduites,00,,07011100
07,Activités de services,01,"Transport, Fret, Entreposage",12,Entreposage et stockage,01,A titre commercial,07011201
07,Activités de services,01,"Transport, Fret, Entreposage",12,Entreposage et stockage,02,A titre indépendant,07011202
07,Activités de services,01,"Transport, Fret, Entreposage",13,Services auxilliaires,00,,07011300
07,Activités de services,01,"Transport, Fret, Entreposage",14,Assistance et remorquage de véhicules automobiles.,00,,07011400
